timestamp_utc,yield_pct,source
2026-07-28T00:00:00Z,5.132,CNBC
2026-07-28T00:01:00Z,5.132,CNBC
2026-07-28T00:02:00Z,5.132,CNBC
2026-07-28T00:05:00Z,5.131,CNBC
2026-07-28T00:06:00Z,5.129,CNBC
2026-07-28T00:07:00Z,5.13,CNBC
2026-07-28T00:08:00Z,5.13,CNBC
2026-07-28T00:09:00Z,5.13,CNBC
2026-07-28T00:11:00Z,5.129,CNBC
2026-07-28T00:12:00Z,5.13,CNBC
2026-07-28T00:13:00Z,5.129,CNBC
2026-07-28T00:15:00Z,5.128,CNBC
2026-07-28T00:16:00Z,5.128,CNBC
2026-07-28T00:17:00Z,5.127,CNBC
2026-07-28T00:18:00Z,5.126,CNBC
2026-07-28T00:19:00Z,5.126,CNBC
2026-07-28T00:20:00Z,5.125,CNBC
2026-07-28T00:21:00Z,5.125,CNBC
2026-07-28T00:22:00Z,5.126,CNBC
2026-07-28T00:23:00Z,5.125,CNBC
2026-07-28T00:24:00Z,5.126,CNBC
2026-07-28T00:25:00Z,5.124,CNBC
2026-07-28T00:26:00Z,5.124,CNBC
2026-07-28T00:28:00Z,5.123,CNBC
2026-07-28T00:29:00Z,5.124,CNBC
2026-07-28T00:30:00Z,5.124,CNBC
2026-07-28T00:31:00Z,5.124,CNBC
2026-07-28T00:32:00Z,5.123,CNBC
2026-07-28T00:33:00Z,5.124,CNBC
2026-07-28T00:34:00Z,5.124,CNBC
2026-07-28T00:35:00Z,5.124,CNBC
2026-07-28T00:36:00Z,5.123,CNBC
2026-07-28T00:39:00Z,5.124,CNBC
2026-07-28T00:41:00Z,5.125,CNBC
2026-07-28T00:42:00Z,5.124,CNBC
2026-07-28T00:43:00Z,5.125,CNBC
2026-07-28T00:44:00Z,5.124,CNBC
2026-07-28T00:45:00Z,5.123,CNBC
2026-07-28T00:46:00Z,5.123,CNBC
2026-07-28T00:47:00Z,5.123,CNBC
2026-07-28T00:48:00Z,5.124,CNBC
2026-07-28T00:49:00Z,5.124,CNBC
2026-07-28T00:50:00Z,5.124,CNBC
2026-07-28T00:51:00Z,5.124,CNBC
2026-07-28T00:52:00Z,5.125,CNBC
2026-07-28T00:53:00Z,5.125,CNBC
2026-07-28T00:54:00Z,5.125,CNBC
2026-07-28T00:55:00Z,5.125,CNBC
2026-07-28T00:56:00Z,5.125,CNBC
2026-07-28T00:57:00Z,5.124,CNBC
2026-07-28T00:58:00Z,5.125,CNBC
2026-07-28T00:59:00Z,5.125,CNBC
2026-07-28T01:00:00Z,5.125,CNBC
2026-07-28T01:01:00Z,5.125,CNBC
2026-07-28T01:02:00Z,5.125,CNBC
2026-07-28T01:03:00Z,5.125,CNBC
2026-07-28T01:04:00Z,5.125,CNBC
2026-07-28T01:06:00Z,5.125,CNBC
2026-07-28T01:07:00Z,5.126,CNBC
2026-07-28T01:08:00Z,5.126,CNBC
2026-07-28T01:09:00Z,5.127,CNBC
2026-07-28T01:10:00Z,5.126,CNBC
2026-07-28T01:11:00Z,5.125,CNBC
2026-07-28T01:12:00Z,5.125,CNBC
2026-07-28T01:13:00Z,5.125,CNBC
2026-07-28T01:14:00Z,5.126,CNBC
2026-07-28T01:15:00Z,5.127,CNBC
2026-07-28T01:16:00Z,5.127,CNBC
2026-07-28T01:17:00Z,5.127,CNBC
2026-07-28T01:19:00Z,5.127,CNBC
2026-07-28T01:20:00Z,5.126,CNBC
2026-07-28T01:21:00Z,5.126,CNBC
2026-07-28T01:22:00Z,5.125,CNBC
2026-07-28T01:24:00Z,5.125,CNBC
2026-07-28T01:25:00Z,5.125,CNBC
2026-07-28T01:27:00Z,5.126,CNBC
2026-07-28T01:28:00Z,5.126,CNBC
2026-07-28T01:29:00Z,5.127,CNBC
2026-07-28T01:30:00Z,5.128,CNBC
2026-07-28T01:31:00Z,5.129,CNBC
2026-07-28T01:32:00Z,5.129,CNBC
2026-07-28T01:33:00Z,5.128,CNBC
2026-07-28T01:34:00Z,5.128,CNBC
2026-07-28T01:35:00Z,5.128,CNBC
2026-07-28T01:36:00Z,5.128,CNBC
2026-07-28T01:37:00Z,5.129,CNBC
2026-07-28T01:39:00Z,5.129,CNBC
