timestamp_utc,yield_pct,source
2026-08-13T00:00:00Z,5.25,CNBC
2026-08-13T00:01:00Z,5.252,CNBC
2026-08-13T00:02:00Z,5.25,CNBC
2026-08-13T00:03:00Z,5.25,CNBC
2026-08-13T00:04:00Z,5.25,CNBC
2026-08-13T00:05:00Z,5.251,CNBC
2026-08-13T00:06:00Z,5.25,CNBC
2026-08-13T00:07:00Z,5.249,CNBC
2026-08-13T00:09:00Z,5.25,CNBC
2026-08-13T00:10:00Z,5.25,CNBC
2026-08-13T00:11:00Z,5.251,CNBC
2026-08-13T00:12:00Z,5.252,CNBC
2026-08-13T00:13:00Z,5.251,CNBC
2026-08-13T00:14:00Z,5.252,CNBC
2026-08-13T00:15:00Z,5.253,CNBC
2026-08-13T00:16:00Z,5.252,CNBC
2026-08-13T00:17:00Z,5.252,CNBC
2026-08-13T00:18:00Z,5.252,CNBC
2026-08-13T00:19:00Z,5.252,CNBC
2026-08-13T00:20:00Z,5.253,CNBC
2026-08-13T00:21:00Z,5.252,CNBC
2026-08-13T00:22:00Z,5.248,CNBC
2026-08-13T00:23:00Z,5.248,CNBC
2026-08-13T00:24:00Z,5.247,CNBC
2026-08-13T00:25:00Z,5.246,CNBC
2026-08-13T00:26:00Z,5.247,CNBC
2026-08-13T00:28:00Z,5.248,CNBC
2026-08-13T00:29:00Z,5.248,CNBC
2026-08-13T00:30:00Z,5.247,CNBC
2026-08-13T00:31:00Z,5.245,CNBC
2026-08-13T00:32:00Z,5.242,CNBC
2026-08-13T00:33:00Z,5.243,CNBC
2026-08-13T00:34:00Z,5.243,CNBC
2026-08-13T00:35:00Z,5.243,CNBC
2026-08-13T00:36:00Z,5.243,CNBC
2026-08-13T00:37:00Z,5.243,CNBC
2026-08-13T00:39:00Z,5.245,CNBC
2026-08-13T00:40:00Z,5.243,CNBC
2026-08-13T00:42:00Z,5.243,CNBC
2026-08-13T00:43:00Z,5.243,CNBC
2026-08-13T00:44:00Z,5.245,CNBC
2026-08-13T00:45:00Z,5.246,CNBC
2026-08-13T00:46:00Z,5.245,CNBC
2026-08-13T00:47:00Z,5.246,CNBC
2026-08-13T00:49:00Z,5.248,CNBC
2026-08-13T00:52:00Z,5.247,CNBC
2026-08-13T00:53:00Z,5.248,CNBC
2026-08-13T00:57:00Z,5.249,CNBC
2026-08-13T00:58:00Z,5.248,CNBC
2026-08-13T00:59:00Z,5.246,CNBC
2026-08-13T01:00:00Z,5.246,CNBC
2026-08-13T01:01:00Z,5.246,CNBC
2026-08-13T01:02:00Z,5.245,CNBC
2026-08-13T01:03:00Z,5.245,CNBC
2026-08-13T01:04:00Z,5.245,CNBC
2026-08-13T01:05:00Z,5.245,CNBC
2026-08-13T01:06:00Z,5.243,CNBC
2026-08-13T01:07:00Z,5.243,CNBC
2026-08-13T01:08:00Z,5.243,CNBC
2026-08-13T01:09:00Z,5.243,CNBC
2026-08-13T01:11:00Z,5.243,CNBC
2026-08-13T01:12:00Z,5.243,CNBC
2026-08-13T01:13:00Z,5.245,CNBC
2026-08-13T01:15:00Z,5.245,CNBC
2026-08-13T01:16:00Z,5.243,CNBC
2026-08-13T01:17:00Z,5.245,CNBC
2026-08-13T01:18:00Z,5.243,CNBC
2026-08-13T01:20:00Z,5.245,CNBC
2026-08-13T01:21:00Z,5.245,CNBC
2026-08-13T01:22:00Z,5.245,CNBC
2026-08-13T01:23:00Z,5.246,CNBC
2026-08-13T01:24:00Z,5.246,CNBC
2026-08-13T01:25:00Z,5.245,CNBC
2026-08-13T01:27:00Z,5.246,CNBC
2026-08-13T01:28:00Z,5.246,CNBC
2026-08-13T01:29:00Z,5.245,CNBC
2026-08-13T01:30:00Z,5.246,CNBC
2026-08-13T01:31:00Z,5.245,CNBC
2026-08-13T01:32:00Z,5.245,CNBC
2026-08-13T01:33:00Z,5.243,CNBC
2026-08-13T01:34:00Z,5.243,CNBC
2026-08-13T01:38:00Z,5.243,CNBC
2026-08-13T01:39:00Z,5.245,CNBC
2026-08-13T01:40:00Z,5.245,CNBC
2026-08-13T01:41:00Z,5.245,CNBC
2026-08-13T01:42:00Z,5.245,CNBC
2026-08-13T01:43:00Z,5.246,CNBC
2026-08-13T01:44:00Z,5.245,CNBC
2026-08-13T01:46:00Z,5.246,CNBC
2026-08-13T01:48:00Z,5.245,CNBC
2026-08-13T01:49:00Z,5.245,CNBC
2026-08-13T01:50:00Z,5.245,CNBC
2026-08-13T01:52:00Z,5.246,CNBC
2026-08-13T01:53:00Z,5.245,CNBC
2026-08-13T01:54:00Z,5.245,CNBC
2026-08-13T01:55:00Z,5.245,CNBC
2026-08-13T01:56:00Z,5.243,CNBC
2026-08-13T01:57:00Z,5.245,CNBC
2026-08-13T01:58:00Z,5.245,CNBC
2026-08-13T01:59:00Z,5.243,CNBC
2026-08-13T02:00:00Z,5.243,CNBC
2026-08-13T02:01:00Z,5.243,CNBC
2026-08-13T02:02:00Z,5.242,CNBC
2026-08-13T02:03:00Z,5.242,CNBC
2026-08-13T02:04:00Z,5.241,CNBC
2026-08-13T02:05:00Z,5.241,CNBC
2026-08-13T02:06:00Z,5.241,CNBC
2026-08-13T02:07:00Z,5.24,CNBC
2026-08-13T02:08:00Z,5.241,CNBC
2026-08-13T02:10:00Z,5.241,CNBC
2026-08-13T02:12:00Z,5.24,CNBC
2026-08-13T02:13:00Z,5.24,CNBC
2026-08-13T02:14:00Z,5.239,CNBC
2026-08-13T02:15:00Z,5.239,CNBC
2026-08-13T02:16:00Z,5.239,CNBC
